OBJECTID,INSTALLED,UPGRADED,INFRA_HIGHORDER
819,2016,NA,Protected Lanes
820,2006,2016,Shared Roadways
821,2016,NA,On-Road Lanes
822,2016,NA,On-Road Lanes
823,2016,NA,Shared Roadways
824,2016,NA,On-Road Lanes
825,2001,2017,On-Road Lanes
826,2001,NA,Protected Lanes
827,2001,2017,Protected Lanes
828,2001,2017,Shared Roadways
829,2001,2017,Shared Roadways
830,2007,2017,Shared Roadways
831,2005,NA,On-Road Lanes
832,2008,NA,On-Road Lanes
833,2008,NA,On-Road Lanes
834,2012,2017,Protected Lanes
835,2012,2017,Protected Lanes
836,2017,NA,On-Road Lanes
837,2017,NA,Shared Roadways
838,2017,NA,On-Road Lanes
839,2015,NA,Shared Roadways
840,2015,NA,Shared Roadways
841,2015,NA,Shared Roadways
842,2015,2015,Shared Roadways
843,2015,NA,Shared Roadways
844,2011,2015,Shared Roadways
845,2007,2015,Shared Roadways
846,2012,2015,Protected Lanes
847,2004,2015,Protected Lanes
848,2005,2021,Protected Lanes
849,2015,NA,Shared Roadways
850,2015,NA,Shared Roadways
851,2006,2016,Shared Roadways
852,2006,2016,Shared Roadways
853,2006,2016,Shared Roadways
854,2006,2016,Shared Roadways
855,2016,2019,On-Road Lanes
856,2016,NA,Shared Roadways
857,2016,NA,Shared Roadways
858,2017,NA,Protected Lanes
859,2016,NA,Protected Lanes
